DATE,USALORSGPNOSTSAM
1990-01-01,101.321951937187
1990-02-01,101.342969228382
1990-03-01,101.337199592098
1990-04-01,101.293179988005
1990-05-01,101.202846924073
1990-06-01,101.059933032297
1990-07-01,100.861778641673
1990-08-01,100.609009412174
1990-09-01,100.309228795765
1990-10-01,99.9845868690186
1990-11-01,99.6631072852717
1990-12-01,99.3720711323982
1991-01-01,99.1314669542478
1991-02-01,98.9544058503988
1991-03-01,98.8439624245871
1991-04-01,98.785437808329
1991-05-01,98.7583428727476
1991-06-01,98.7444851891458
1991-07-01,98.7337383011953
1991-08-01,98.7235287486667
1991-09-01,98.7180348506886
1991-10-01,98.7272632112886
1991-11-01,98.7626688540731
1991-12-01,98.831633190826
1992-01-01,98.9299334636679
1992-02-01,99.0483538437518
1992-03-01,99.1770034673173
1992-04-01,99.3080263473363
1992-05-01,99.4354597781886
1992-06-01,99.5547426680608
1992-07-01,99.6622930721028
1992-08-01,99.7537978069196
1992-09-01,99.8231526628735
1992-10-01,99.862369874032
1992-11-01,99.8641794950055
1992-12-01,99.8265991923913
1993-01-01,99.7599509044167
1993-02-01,99.6792111125103
1993-03-01,99.5983168413716
1993-04-01,99.5253891171587
1993-05-01,99.4661090185532
1993-06-01,99.4263449863359
1993-07-01,99.4136283924927
1993-08-01,99.4350524028702
1993-09-01,99.4930701167372
1993-10-01,99.5786445767286
1993-11-01,99.6790977863547
1993-12-01,99.7837381821032
1994-01-01,99.8882078006912
1994-02-01,99.9909133368375
1994-03-01,100.089245473106
1994-04-01,100.175700583465
1994-05-01,100.241976156816
1994-06-01,100.283697445211
1994-07-01,100.306353645792
1994-08-01,100.317674850326
1994-09-01,100.321194603215
1994-10-01,100.310469801793
1994-11-01,100.275012234905
1994-12-01,100.207033840234
1995-01-01,100.109725999171
1995-02-01,99.9920504850332
1995-03-01,99.865497603751
1995-04-01,99.7421951096226
1995-05-01,99.6324579787463
1995-06-01,99.542015794483
1995-07-01,99.4681644568375
1995-08-01,99.4053768161473
1995-09-01,99.3495134145647
1995-10-01,99.3010525719301
1995-11-01,99.2643962979694
1995-12-01,99.2465026542513
1996-01-01,99.2545334366443
1996-02-01,99.2934886372397
1996-03-01,99.3618171765146
1996-04-01,99.4446115568728
1996-05-01,99.5227818239706
1996-06-01,99.5809666390023
1996-07-01,99.6155682758834
1996-08-01,99.6292269006344
1996-09-01,99.6268056767706
1996-10-01,99.6127270484809
1996-11-01,99.5922947032146
1996-12-01,99.573707660676
1997-01-01,99.5703935747526
1997-02-01,99.5955112510557
1997-03-01,99.655290775504
1997-04-01,99.7402210953816
1997-05-01,99.8338608375338
1997-06-01,99.9196552867619
1997-07-01,99.986992602251
1997-08-01,100.030037366148
1997-09-01,100.047770388945
1997-10-01,100.045653305284
1997-11-01,100.031486316331
1997-12-01,100.012647098825
1998-01-01,99.9941738275918
1998-02-01,99.9801203923925
1998-03-01,99.9748570712326
1998-04-01,99.9840340279458
1998-05-01,100.013636106682
1998-06-01,100.068007283319
1998-07-01,100.146411505714
1998-08-01,100.244503891501
1998-09-01,100.354047885017
1998-10-01,100.461200609747
1998-11-01,100.55156662735
1998-12-01,100.615426442599
1999-01-01,100.654162924864
1999-02-01,100.675566034745
1999-03-01,100.690976344454
1999-04-01,100.713747100266
1999-05-01,100.756224841941
1999-06-01,100.826317024538
1999-07-01,100.92274088701
1999-08-01,101.038330508864
1999-09-01,101.161500134978
1999-10-01,101.276400615334
1999-11-01,101.369440754189
1999-12-01,101.436487504648
2000-01-01,101.491683903457
2000-02-01,101.552742371377
2000-03-01,101.627216339433
2000-04-01,101.698482904392
2000-05-01,101.740523730657
2000-06-01,101.733025463125
2000-07-01,101.678617552363
2000-08-01,101.589199556957
2000-09-01,101.475771453571
2000-10-01,101.341013896772
2000-11-01,101.183881766077
2000-12-01,101.005854103062
2001-01-01,100.818862994879
2001-02-01,100.636323167229
2001-03-01,100.465089226128
2001-04-01,100.297363122084
2001-05-01,100.120981330372
2001-06-01,99.9294474745522
2001-07-01,99.7325635908486
2001-08-01,99.5478464448725
2001-09-01,99.3925636770541
2001-10-01,99.2751334425738
2001-11-01,99.198035152002
2001-12-01,99.1580221455143
2002-01-01,99.1434584601136
2002-02-01,99.1399040720581
2002-03-01,99.1338557736309
2002-04-01,99.1157002998293
2002-05-01,99.0787730643382
